3vxuGl0XyxH38EqlZj8dXQ,Wired Puppy Boston,250 Newbury Street,Boston,4.0,391,0,84,208,0.28767,42.3493765,-71.0826238
3w0SZIZxmZ3mxBWPnQdHYA,Los Amigos Taqueria,366 Washington St,Brighton,3.5,101,1,40,420,0.08696,42.3489906,-71.1538177
3w53096TZI65qMgxhuwc2A,Taranta Cucina Meridionale,210 Hanover St,Boston,4.0,473,0,144,172,0.4557,42.363031,-71.0555801
3wcBaPP4eEukyj2NF2G60Q,Bean & Leaf Cafe,20 Custom House St,Boston,4.0,50,1,500,552,0.47529,42.358242,-71.053006
3xN6Z7wvmGWBnkMjWaQNMA,Molly's Farmhouse Coffee,16 Preble St,Boston,2.5,38,1,28,92,0.23333,42.3295778,-71.0562976
3ybJ4Nv38ADerI7p7n0wiA,Three C's Cleveland Circle Convenience,358 Chestnut Hill Ave,Boston,4.0,12,0,28,52,0.35,42.3367657,-71.1513774
3zZbX0j7R9ejFPEa7BwzBQ,Terrie's Place,676 E Broadway,Boston,3.5,25,0,72,216,0.25,42.3356114,-71.0375211
4-parrXC5vWK0ONgbY-eTA,The Proper Slice,547 Washington St,Brighton,4.0,191,0,116,132,0.46774,42.3495501,-71.1637263
41PtFgRt3DQa4J4FHDZkRA,Chinese Mirch,251 Massachusetts Ave,Boston,2.5,67,0,92,140,0.39655,42.3440307,-71.0861598
438xwnZ_j61hX7ymJsApVQ,Irish Village,224 Market St,Brighton,4.5,59,1,76,60,0.55882,42.3549275,-71.1497022
43Jo7NU45Yb0U8tM2S76dg,The Home Depot,5 Allstate Rd,Boston,2.0,110,1,44,60,0.42308,42.3283309153,-71.0638908175
4477ntkswKJ7L3a9pQlgpA,Thai Dish,270 Babcock St,Boston,4.5,113,1,172,208,0.45263,42.3527433,-71.1218741
447qkKsTlaDGFBtjOku2tg,Dunkin',757 Centre St,Jamaica Plain,2.5,25,1,380,532,0.41667,42.3104729,-71.1152128
44YmdyZClNgMwvwlPENs0A,Annabelle's Restaurant,1300 Hyde Park Ave,Boston,3.0,73,0,40,136,0.22727,42.254125,-71.12403
49wY3aTGhVJP9upnDRrgdQ,Modern Underground Bar and Grill,263 Hanover St,Boston,4.0,14,1,92,92,0.5,42.363249,-71.054722
4BvwBV_M7mF_CUr1OyEPFg,Yada Yada,34 Farnsworth St,Boston,4.0,62,0,204,308,0.39844,42.351884,-71.048083
4CrgpIssu9HTqdVF4LA6SQ,Yale Appliance,296 Freeport St,Dorchester,4.0,317,1,68,16,0.80952,42.302842,-71.051823
4GhT-yvmM5SEmrBq5iiEuw,Peka Restaurant,304 Washington St,Brighton,5.0,17,1,0,92,0.0,42.3488196,-71.1512769
4HnToN8bByaPRTTehukvXw,Brendan Behan Pub,378 Centre St,Jamaica Plain,4.0,191,1,160,348,0.31496,42.3219921,-71.1092813
4JsYDeZndSGUEAOUmpCJZA,Panera Bread,1 Union St,Boston,2.5,12,0,52,60,0.46429,42.360693,-71.056618
